iter	Logloss
0	0.6244235677
1	0.5675649089
2	0.522054362
3	0.4845185221
4	0.4527773763
5	0.4250034505
6	0.403887207
7	0.3851903971
8	0.3700836263
9	0.3572463867
10	0.346222526
11	0.3375595052
12	0.3295177083
13	0.3231763346
14	0.3170597982
15	0.3120626302
16	0.3076182292
17	0.3028265299
18	0.2990521159
19	0.2966623372
20	0.2936354492
21	0.2910700846
22	0.2887897786
23	0.286625293
24	0.2844828125
25	0.2824344076
26	0.2810277018
27	0.2791545247
28	0.2780350586
29	0.276422168
30	0.2752838216
31	0.2741688151
32	0.2725060384
33	0.2711197103
34	0.2697219238
35	0.2687098633
36	0.2675230306
37	0.2665656087
38	0.2657197591
39	0.2649065918
40	0.264060791
41	0.2631335938
42	0.2621585124
43	0.2614097819
44	0.2607251628
45	0.259914974
46	0.2591023763
47	0.2581942871
48	0.2574342611
49	0.2566315267
50	0.255923112
51	0.255233724
52	0.2546234701
53	0.2538938477
54	0.2533681478
55	0.2527405599
56	0.2521348958
57	0.2516124512
58	0.2511112467
59	0.2506304525
60	0.2499533529
61	0.2494020671
62	0.2489358561
63	0.2483802734
64	0.2479607259
65	0.2474954264
66	0.2470493815
67	0.2463553385
68	0.2458437337
69	0.2453624837
70	0.2450066081
71	0.2444454427
72	0.2440828776
73	0.2437927897
74	0.2433111654
75	0.2429179525
76	0.2425240885
77	0.2420747721
78	0.2418037272
79	0.2413093424
80	0.2407303874
81	0.2403697428
82	0.2399275553
83	0.2394105143
84	0.2390708496
85	0.2386904785
86	0.2384294271
87	0.2380968424
88	0.237632194
89	0.2372199219
90	0.2368665527
91	0.2364758952
92	0.2360080241
93	0.2356751628
94	0.2354719401
95	0.2349347982
96	0.2346207194
97	0.2344294108
98	0.2341279948
99	0.2338320475
100	0.2335827148
101	0.2333000488
102	0.2330848796
103	0.2328960286
104	0.2324164551
105	0.2320568359
106	0.2318266276
107	0.2310780762
108	0.2308420573
109	0.2304714681
110	0.2301733398
111	0.2298998047
112	0.2296899251
113	0.2295007324
114	0.2292767741
115	0.228746582
116	0.228329362
117	0.2281146484
118	0.2278980143
119	0.2275149251
120	0.2270696777
121	0.2267878581
122	0.2265068034
123	0.2262554036
124	0.2259357585
125	0.2257583008
126	0.2254704753
127	0.2250850911
128	0.2249455241
129	0.2246741048
130	0.2243959473
131	0.2239700033
132	0.2236825358
133	0.2233690755
134	0.2229904622
135	0.222692627
136	0.2225876139
137	0.2223243164
138	0.2221069987
139	0.2218474772
140	0.2215400879
141	0.2212187826
142	0.2209352865
143	0.2207673828
144	0.2205023275
145	0.2203971517
146	0.2202574707
147	0.2201724609
148	0.2198579264
149	0.2194559733
150	0.2190907715
151	0.2188999837
152	0.2187425456
153	0.2184290853
154	0.2181772461
155	0.2178629069
156	0.2176906413
157	0.2173913574
158	0.2171902344
159	0.217119222
160	0.2168477051
161	0.2166315918
162	0.2164008138
163	0.2159380859
164	0.2155857096
165	0.2153182292
166	0.215003304
167	0.2148393717
168	0.214523584
169	0.214281429
170	0.2140186198
171	0.2138764323
172	0.2137013021
173	0.2134322754
174	0.2131641276
175	0.2128587728
176	0.2125671061
177	0.2124353027
178	0.2122000814
179	0.211983903
180	0.2118075684
181	0.2116530762
182	0.2112830078
183	0.2109630208
184	0.2108977702
185	0.2105904948
186	0.2104958008
187	0.2102868815
188	0.2100773926
189	0.2098574382
190	0.2096947917
191	0.2094898763
192	0.2092748047
193	0.2088610677
194	0.2087702799
195	0.2086095215
196	0.2083350423
197	0.2080984049
198	0.2079193685
199	0.2076331217
200	0.2074075684
201	0.2071276042
202	0.2069202799
203	0.2067489583
204	0.2064552572
205	0.2062300456
206	0.2059924479
207	0.2058533366
208	0.2057050618
209	0.2053905273
210	0.2051834961
211	0.2049319661
212	0.2048438802
213	0.2047205892
214	0.2046242839
215	0.2043722819
216	0.2042514974
217	0.2037999674
218	0.2035366699
219	0.2032723307
220	0.2030125488
221	0.202807194
222	0.2027950195
223	0.2026471191
224	0.2024993164
225	0.2023579915
226	0.2022322266
227	0.2021741048
228	0.2018756022
229	0.2017379395
230	0.2015195801
231	0.2014877604
232	0.2013164551
233	0.2011265137
234	0.2009007975
235	0.2006746908
236	0.200489209
237	0.2002886393
238	0.2001015951
239	0.199864681
240	0.1996137858
241	0.199538623
242	0.1993646322
243	0.1991271159
244	0.1988159017
245	0.1986583171
246	0.1985949056
247	0.1984402832
248	0.198308252
249	0.1981081706
250	0.1979563802
251	0.1976915527
252	0.1975539876
253	0.197296224
254	0.1971633138
255	0.1969931152
256	0.1968561523
257	0.1964988607
258	0.1962724935
259	0.1960715332
260	0.1958901855
261	0.1956951009
262	0.1955261719
263	0.1954062988
264	0.1952661784
265	0.1951393229
266	0.194798877
267	0.1946215495
268	0.1944074707
269	0.1943017253
270	0.194123877
271	0.1939618327
272	0.1937956706
273	0.1936788411
274	0.1936595052
275	0.1934745931
276	0.1933481771
277	0.1931566243
278	0.1930916667
279	0.1928945964
280	0.192777002
281	0.1926344401
282	0.192498763
283	0.1923896973
284	0.1923217611
285	0.1921691406
286	0.1920532064
287	0.1919085775
288	0.1917217936
289	0.1915695313
290	0.1914665853
291	0.191390918
292	0.1912159505
293	0.1910402181
294	0.1908185384
295	0.1906791667
296	0.1906472168
297	0.190534668
298	0.1903744141
299	0.1901594238
300	0.1899954427
301	0.189870638
302	0.1897156413
303	0.1895858724
304	0.1894399902
305	0.1892381022
306	0.1891925456
307	0.1890886393
308	0.1889586914
309	0.188788265
310	0.1885741536
311	0.1884651693
312	0.1882961751
313	0.1880478678
314	0.1878744954
315	0.1876916667
316	0.1874784668
317	0.1873099284
318	0.1871767904
319	0.1870055664
320	0.1868565755
321	0.1867590495
322	0.1866846842
323	0.1865156087
324	0.1864848307
325	0.1862294108
326	0.1859547852
327	0.1858544922
328	0.1856710612
329	0.1854924316
330	0.1852876139
331	0.1850987305
332	0.1849176758
333	0.1847670247
334	0.1846676921
335	0.1844264974
336	0.1842683268
337	0.1842074382
338	0.1839929199
339	0.1838341797
340	0.1836622559
341	0.1835416341
342	0.1834036133
343	0.1832969727
344	0.1832751302
345	0.1831158691
346	0.1829909668
347	0.1829003743
348	0.1828005371
349	0.1825882813
350	0.1824037435
351	0.1822985352
352	0.1821700521
353	0.1820210612
354	0.1819604167
355	0.1817958659
356	0.1816098958
357	0.1815647461
358	0.1815381836
359	0.1813819499
360	0.1812428874
361	0.1811213867
362	0.1809968424
363	0.1808812988
364	0.1806957845
365	0.1805902181
366	0.1805634277
367	0.1804054199
368	0.1802008789
369	0.1801020508
370	0.1799659017
371	0.179869043
372	0.1797594238
373	0.1797446452
374	0.1796751302
375	0.1796285482
376	0.1794416992
377	0.179293099
378	0.1791883789
379	0.1790583008
380	0.1789813477
381	0.1788783529
382	0.1787779785
383	0.1786709147
384	0.178604834
385	0.1784283691
386	0.1783010905
387	0.1781151204
388	0.1779915853
389	0.1778197917
390	0.1777428385
391	0.1776226074
392	0.177377832
393	0.1771474284
394	0.1770883789
395	0.1769443522
396	0.176861263
397	0.1768480306
398	0.1766942383
399	0.1765859701
400	0.1764477865
401	0.1763913086
402	0.1763219076
403	0.1760307943
404	0.1759901855
405	0.175848877
406	0.1757570313
407	0.1756612467
408	0.175651416
409	0.1755830404
410	0.1754128581
411	0.1753383138
412	0.1752197754
413	0.1750966634
414	0.1750131999
415	0.1748445964
416	0.1747872884
417	0.1745726237
418	0.1743607422
419	0.1742183105
420	0.1740616048
421	0.1739715658
422	0.1738384603
423	0.1737352051
424	0.1736428385
425	0.1734035645
426	0.1732816406
427	0.1731527018
428	0.1729656901
429	0.1727255046
430	0.1725285807
431	0.1724121908
432	0.172409196
433	0.1723114258
434	0.1722102702
435	0.1720918132
436	0.172077002
437	0.1719157878
438	0.1719129232
439	0.171779069
440	0.171712793
441	0.1716271973
442	0.1715578613
443	0.1714365234
444	0.1712718913
445	0.1710848307
446	0.1709211263
447	0.1708980469
448	0.1707640951
449	0.1706810221
450	0.1705994303
451	0.1705836589
452	0.170524056
453	0.1703934408
454	0.1702811035
455	0.1702263184
456	0.1701136393
457	0.1701042643
458	0.1700735189
459	0.1700705404
460	0.169979069
461	0.1699764648
462	0.1699740072
463	0.1698336914
464	0.1698111165
465	0.1696846191
466	0.1695414225
467	0.1693119141
468	0.1690978027
469	0.1689847819
470	0.1688741048
471	0.1688119792
472	0.1687771647
473	0.1686463704
474	0.1685373047
475	0.1684834635
476	0.1682636556
477	0.1682235026
478	0.1680472331
479	0.1679529134
480	0.1678052246
481	0.1677427246
482	0.1676133301
483	0.1676015625
484	0.1675216471
485	0.1673197591
486	0.167188737
487	0.1670596517
488	0.1668907715
489	0.1667531413
490	0.1667204427
491	0.1666075358
492	0.1664488932
493	0.1662947103
494	0.1662738932
495	0.1662632975
496	0.1661259603
497	0.1659607585
498	0.1658965658
499	0.1657968262
500	0.1656770182
501	0.1655770345
502	0.1654157389
503	0.1653274251
504	0.1653191732
505	0.1652675944
506	0.1652582682
507	0.1652535482
508	0.1650374837
509	0.1650014486
510	0.1649188965
511	0.1647685872
512	0.1646564616
513	0.1644736003
514	0.164327946
515	0.1642335612
516	0.1641421061
517	0.1639742025
518	0.1638825195
519	0.1637863444
520	0.1636817708
521	0.1635386556
522	0.1633781087
523	0.163272054
524	0.1631879883
525	0.1631155924
526	0.1629675944
527	0.1628672526
528	0.1627270345
529	0.1626708659
530	0.1624965332
531	0.1624114258
532	0.1622883626
533	0.1621628906
534	0.1619876953
535	0.1618659831
536	0.1617872884
537	0.1616778971
538	0.161667334
539	0.1616128906
540	0.161440918
541	0.1613474609
542	0.1612686523
543	0.1611739583
544	0.1611087402
545	0.1609881673
546	0.160882373
547	0.1607766113
548	0.1606825195
549	0.1605770182
550	0.1605103027
551	0.1604500488
552	0.1603740234
553	0.1603141276
554	0.1602305176
555	0.1602234863
556	0.1601283366
557	0.1599686523
558	0.1598381185
559	0.1598145671
560	0.159734668
561	0.1596225098
562	0.1595116862
563	0.1593805501
564	0.1592811198
565	0.1592319336
566	0.1591370605
567	0.1590347005
568	0.1589
569	0.1588597168
570	0.1587383626
571	0.1586079102
572	0.1585478516
573	0.1584611979
574	0.1583938802
575	0.1582737956
576	0.1581335937
577	0.1580688639
578	0.157969694
579	0.1578678874
580	0.1578364583
581	0.1577746094
582	0.1577463053
583	0.1576919108
584	0.157617041
585	0.157567513
586	0.1575411784
587	0.1574348958
588	0.1574257813
589	0.1574250651
590	0.1573648112
591	0.1573641276
592	0.1573634928
593	0.1573590007
594	0.1573583659
595	0.1573577637
596	0.15724375
597	0.1570907389
598	0.156988916
599	0.1568526042
600	0.1568011393
601	0.156734375
602	0.1566529622
603	0.1564876302
604	0.1563767741
605	0.1562628092
606	0.156186377
607	0.1560282878
608	0.1559644206
609	0.1559560547
610	0.15587889
611	0.1557417643
612	0.1556455078
613	0.1555416016
614	0.155496582
615	0.155427946
616	0.1553584961
617	0.1552921549
618	0.1552202799
619	0.1551258138
620	0.1550285482
621	0.1549583659
622	0.1548820312
623	0.1548282064
624	0.1547096517
625	0.1546239746
626	0.1545649089
627	0.1545026367
628	0.1543960612
629	0.1543442057
630	0.1542416992
631	0.1541764323
632	0.1541585286
633	0.1540656738
634	0.1539143066
635	0.1538020182
636	0.1537285807
637	0.1535846517
638	0.1535712565
639	0.1534693522
640	0.1534249674
641	0.1533599121
642	0.1532120117
